Wikipedia article ID,Book title,Author,Publication date,GenreId,genres
843,A Clockwork Orange,Anthony Burgess,1962,"['/m/06n90', '/m/0l67h', '/m/014dfn', '/m/0c082', '/m/06nbt', '/m/02xlf']","['Science Fiction', 'Novella', 'Speculative fiction', 'Utopian and dystopian fiction', 'Satire', 'Fiction']"
986,The Plague,Albert Camus,1947,"['/m/02m4t', '/m/02xlf', '/m/0pym5', '/m/05hgj']","['Existentialism', 'Fiction', 'Absurdist fiction', 'Novel']"
1756,An Enquiry Concerning Human Understanding,David Hume,,,
2080,A Fire Upon the Deep,Vernor Vinge,,"['/m/03lrw', '/m/06n90', '/m/014dfn', '/m/01hmnh', '/m/02xlf']","['Hard science fiction', 'Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"
2152,All Quiet on the Western Front,Erich Maria Remarque,1929-01-29,"['/m/098tmk', '/m/016lj8']","['War novel', 'Roman à clef']"
2890,A Wizard of Earthsea,Ursula K. Le Guin,1968,"['/m/0dwly', '/m/01hmnh', '/m/014dfn', '/m/01jym', '/m/02xlf']","[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Bildungsroman', 'Fiction']"
2950,Anyone Can Whistle,Arthur Laurents,,,
4081,Blade Runner 3: Replicant Night,K. W. Jeter,1996-10-01,"['/m/06n90', '/m/014dfn']","['Science Fiction', 'Speculative fiction']"
4082,Blade Runner 2: The Edge of Human,K. W. Jeter,1995-10-01,"['/m/06n90', '/m/014dfn']","['Science Fiction', 'Speculative fiction']"
4331,Book of Joshua,,,,
4332,Book of Ezra,,,,
4376,Book of Numbers,,,,
4381,Book of Ruth,,,,
4382,Book of Esther,,,,
4386,Book of Job,,,['/m/02mdj1'],['Religious text']
4449,Book of Hosea,,,,
4451,Book of Jonah,,,,
4452,Book of Micah,,,,
4454,Book of Haggai,,,,
6020,Crash,J. G. Ballard,1973,"['/m/014dfn', '/m/02xlf', '/m/05hgj']","['Speculative fiction', 'Fiction', 'Novel']"
6628,Children of Dune,Frank Herbert,1976,"['/m/06n90', '/m/014dfn', '/m/0dwly', '/m/02xlf']","['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"
6629,"Candide, ou l'Optimisme",Voltaire,1759-01,"['/m/06nbt', '/m/01jym', '/m/0g_jj']","['Satire', 'Bildungsroman', 'Picaresque novel']"
6630,Chapterhouse Dune,Frank Herbert,1985-04,"['/m/06n90', '/m/014dfn', '/m/0dwly', '/m/02xlf']","['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"
6921,Carmilla,Sheridan Le Fanu,1872,['/m/039vk'],['Gothic fiction']
7817,The Cider House Rules,John Irving,1985,['/m/02xlf'],['Fiction']
7923,Dracula,Bram Stoker,1897,"['/m/06n90', '/m/014dfn', '/m/03npn', '/m/090ts5', '/m/02n4kr', '/m/02ql9', '/m/01hmnh', '/m/02xlf', '/m/039vk']","['Science Fiction', 'Speculative fiction', 'Horror', 'Invasion literature', 'Mystery', 'Epistolary novel', 'Fantasy', 'Fiction', 'Gothic fiction']"
8237,Don Quixote,Miguel de Cervantes,1605,"['/m/0gf28', '/m/0dwly', '/m/059r08', '/m/06nbt', '/m/011ys5', '/m/0g_jj', '/m/02xlf']","['Parody', ""Children's literature"", 'Psychological novel', 'Satire', 'Farce', 'Picaresque novel', 'Fiction']"
8547,Deuteronomy,,,,
8567,Dune Messiah,Frank Herbert,1969,"['/m/06n90', '/m/014dfn', '/m/0dwly', '/m/02xlf', '/m/05hgj']","['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction', 'Novel']"
8757,Darwin's Dangerous Idea,Daniel Dennett,1995,"['/m/037mh8', '/m/06mq7']","['Philosophy', 'Science']"
9000,Death of a Hero,Richard Aldington,,['/m/02xlf'],['Fiction']
9662,Exodus,,,['/m/02mdj1'],['Religious text']
10861,The Trial,Franz Kafka,1925,"['/m/02xlf', '/m/0pym5', '/m/05hgj']","['Fiction', 'Absurdist fiction', 'Novel']"
10862,The Metamorphosis,,1915,"['/m/0dwly', '/m/0pym5', '/m/0l67h', '/m/014dfn', '/m/01hmnh', '/m/02xlf']","[""Children's literature"", 'Absurdist fiction', 'Novella', 'Speculative fiction', 'Fantasy', 'Fiction']"
